,,"GeneID","Length","Min4vsCtrl","Min8vsCtrl","Min15vsCtrl","Min30vsCtrl","Hr1vsCtrl","Hr2vsCtrl","Hr4vsCtrl","Hr8vsCtrl","Hr16vsCtrl","CtrlHr16vsCtrl","AveExpr","F","P.Value","adj.P.Val"
,"6781",6781,3877,-0.087239107220555,-0.324918025050159,-0.093220201876226,-0.221897495465581,-0.15712472514897,-0.135123411920009,0.809806899843633,-0.010853446989416,-0.485621753243019,0.925764590427125,5.4759866923128,27.0346090778987,8.27E-12,1.26E-09
,"54107",54107,2476,0.059381778928866,-0.010563516838962,0.118976940063039,0.557564592970315,-0.003406702940609,0.428818502680724,0.602879624682945,0.553452944821665,0.167571628236399,-0.477383848625255,7.11322317882604,26.9848661491301,8.46E-12,1.28E-09
,"677",677,4040,-0.508107046043571,-0.858632535048858,-0.535516442654547,-1.00644082233007,-0.640686157180349,-0.568254603760507,0.895545525329574,0.229274629644342,0.392525496992056,0.992074651090751,4.92444735645301,26.9162915737846,8.73E-12,1.30E-09
,"91947",91947,4067,-0.379736985292702,-0.384617947172216,-0.322657751180039,-0.524885615289667,-0.440459516566294,-0.537573192212657,0.774314481246752,0.264701283750416,-0.147548900396361,-0.155770724268947,5.25187791212526,26.7134403195116,9.59E-12,1.42E-09
,"51367",51367,909,0.077431629230966,0.208241153419966,0.04468158550933,0.361184076700861,0.067793713926465,0.464223991081309,0.009136981440701,0.112695468023724,0.251028242398987,-1.0478781923552,5.22196557967346,26.6317078532444,9.96E-12,1.46E-09
,"22884",22884,4611,0.351444004683356,0.281676600891687,0.305275818232344,0.422666750529671,0.438247436385918,0.826738490740718,1.00122287173188,0.377681277980807,0.084929763272097,0.169645397761018,4.69075890284471,26.5826468191292,1.02E-11,1.47E-09
,"25819",25819,1984,0.022219170852593,-0.055554025981089,0.106058236595437,-0.096293833598174,0.16518369308805,0.787337812182805,1.06041184147573,0.285312870058991,-0.084340955728902,0.274765965788965,5.1446166786614,26.5279133490468,1.05E-11,1.49E-09
,"25976",25976,5426,-0.174719911378161,-0.065581215296685,-0.029745705480065,0.055746511132249,-0.001287571080177,0.650661172220103,0.920978507945556,0.364024575988825,-0.055739651853138,0.133571023519166,6.81529477608139,26.4717553216703,1.07E-11,1.52E-09
,"7050",7050,4507,-0.833984352292834,-0.68385409233472,-0.556104001709304,-0.811023121225855,-1.23208663503529,-1.23018326761303,-0.199439525174103,-0.441265127453111,-0.264481014958675,0.939879774009624,4.75161864103086,26.3618621773777,1.13E-11,1.58E-09
,"5337",5337,6910,0.058488981675798,0.059803587008971,-0.012651315673608,-0.1962922740857,0.119335442266671,-0.262744074804498,-0.614201085661563,-0.968389697233246,-0.268775980690828,0.819381693043974,4.03086627797567,26.2945649564961,1.17E-11,1.62E-09
,"81848",81848,7011,-0.442884625282927,-0.592955276959795,-0.312558953815383,-0.894692916238148,-0.114575507952583,-0.02507750484425,0.490296046991643,0.211895736493368,0.253056570034783,0.757891172997857,5.52037239659954,26.1337108883328,1.26E-11,1.73E-09
,"1719",1719,3917,-0.046784394695741,0.053857273624619,-0.005304475101588,0.137585979625474,-0.058306632188664,0.031308196794694,-0.059116351791048,-0.204411723921551,-0.30633488177758,-0.845414319396214,6.30260430246357,26.0714234603133,1.29E-11,1.76E-09
,"55038",55038,2453,0.059780169065371,0.123391698177774,-0.03137643843188,0.205107065720323,0.124081183755245,0.473013000241031,0.782663538877912,0.15797279996621,-0.108012217677326,-0.195165460652347,6.51173923868939,25.9458127347223,1.37E-11,1.85E-09
,"604",604,7635,-0.698257048778336,-1.04686527375434,-0.551556162332174,-1.08404686596889,-0.476440157201451,-0.92638119530666,-0.333889405906772,-0.637632446493624,-0.213749961957874,0.786311354284077,3.40760041308845,25.9114921968822,1.40E-11,1.86E-09
,"64283",64283,7219,0.074479989354336,-0.017165932215262,-0.009872729361375,-0.119687129415311,0.082511801711467,-0.143315883896028,-0.440515982185715,-0.307682810173919,-0.249650350193413,0.281854359677288,8.25768035461514,25.8033901246162,1.47E-11,1.94E-09
,"51388",51388,2320,0.03729225484378,0.293852847660258,0.170681893724191,0.559239902302371,0.21287895903193,0.637947475295415,0.558905381800165,0.514802967946599,-0.018998404088884,-0.606593889998113,6.63868623159822,25.7756087412073,1.49E-11,1.95E-09
